запрос,id,адрес,цена,комнат,площадь,метров_до_патриарших,оценка_1_2_3,описание
b04,cian_327564269,"Москва, Козихинский Б. пер, 17стр1",44000000,2,54.3,135,"","Номер объекта: 543527. Уютная и тихая 2-комнатная квартира площадью 54.3 кв.м с качественной отделкой в доходном доме 1905 года постройки, расположенном у Патриарших прудов. Квартира расположена на высоком 3 этаже. Пять больших окон обращены в сторону двора и исторических построек района. Высокие потолки 3.6 метра. Капитальный ремонт был выполнен в 2008 году с заменой всех коммуникаций и установкой сплит-системы кондиционирования Fujitsu. Квартира полностью готова к проживанию, укомплектована мебелью и бытовой техникой (Miele, Electrolux). В доме всего 21 квартира, 1 подъезд, установлен лифт, "
b04,cian_332053082,"Россия, Москва город, улица Бронная М., дом 25",135000000,4,138.0,150,"","Просторная квартира с ремонтом в клубном доме на Малой Бронной 25. ЖК построен 1998 году, всего 15 квартир. Подземный паркинг и охрана, большое машино-место за отдельную плату Квартира включает в себя гостиную, объединенную с кухней и столовой зоной, общей площадью 60 квадратных метров, три спальни, из которых одна оборудована гардеробной, два санузла, постирочную и просторную прихожую. Высота потолков достигает 3 метров. В каждой комнате установлены кондиционеры, а также предусмотрены теплые полы в ванной и на кухне. Из окон виды на старинную Москву, а спальни выходят во двор, тишина. Круглос"
b04,cian_332401529,"Москва, Трёхпрудный переулок, 9с2",500589501,2,168.6,205,"","Угловой апартамент на первом жилом этаже ""Левенсона"". Высота потолков 3,25 м. Просторная зона кухни-гостиной 57 м² - пространство, где день живёт в полную силу. Южный свет, который не покидает дом до вечера. Два мастер блока по стандартам Веспер с большими гардеробными комнатами и ванной с окном. Вид в тихий двор. Панорамные окна. Апартаменты с отделкой делюкс - Калаката Виола на полу и стенах ванной, паркет из тонированного дуба в палубной укладке, кухня Молтени с островом из итальянского камня. Отделка Апартаменты предлагаются с отделкой в стиле изысканного минимализма: тёплые оттенки, дерев"
b04,cian_326778204,"Москва, Трёхпрудный переулок, 9с2",843631569,2,244.1,205,"","Квартира 244,1 м² на втором этаже с двумя спальнями с панорамными окнами на четыре стороны света и высотой потолков 3,25 м. Всего 4 (четыре) квартиры в этом корпусе - максимальные тишина и комфорт. Два входа: парадный и сервисный - частная жизнь и бытовая не пересекаются. Мастер-зона с гардеробной и ванной комнатой с окном - утренний свет и мрамор в одном пространстве. В детской собственная ванная комната. Отдельный тренажерный зал с гардеробной и ванной. Тёмная бронза, Тундра Блу, палубный паркет - графичная эстетика современного корпуса с отделкой делюкс. Отделка Изысканный минимализм тёплых"
b04,cian_332401547,"Москва, Трёхпрудный переулок, 9с2",1863272376,4,494.2,205,"","Двухуровневая квартира площадью 495,9 м² с четырьмя спальнями - одна из наиболее значительных резиденций ""Левенсона"". Окна на четыре стороны света. Первый уровень; большая зона кухни-столовой, просторная угловая гостиная, гостевая спальня с гардеробной и ванной комнатами. Второй уровень: принадлежит мастер-спальне с гардеробной 17,8 м² и ванной из итальянского мрамора. Также на втором уровне расположены две детские спальни с гардеробными и ванными с окнами. Собственный тренажёрный зал и камерный кинотеатр. Сервисная зона с двумя независимыми входами, полноценной кухней и комнатой для персонала"
b04,cian_326778205,"Москва, Трёхпрудный переулок, 9с2",1869681852,4,495.9,205,"","Двухуровневая квартира площадью 495,9 м² с четырьмя спальнями - одна из наиболее значительных резиденций ""Левенсона"". Окна на четыре стороны света. Первый уровень; большая зона кухни-столовой, просторная угловая гостиная, гостевая спальня с гардеробной и ванной комнатами. Второй уровень: принадлежит мастер-спальне с гардеробной 17,8 м² и ванной из итальянского мрамора. Также на втором уровне расположены две детские спальни с гардеробными и ванными с окнами. Собственный тренажёрный зал и камерный кинотеатр. Сервисная зона с двумя независимыми входами, полноценной кухней и комнатой для персонала"
b04,cian_330266642,"Москва, Трёхпрудный переулок, 9с1",1200101070,3,327.4,214,"","Двусторонняя квартира площадью 327,4 м², на четвёртом этаже исторического корпуса. Спальни смотрят в тихие дворы. Толстые стены, которые помнят типографию Левенсона и первые сборники Цветаевой. Парадный вход с просторной гардеробной с окном. Зона кухни--гостиной 90 кв.м. с дополнительной сервисной кухней. Мастер - зона - спальня, кабинет, мужская и женская гардеробные, ванная. У каждого пространства своё окно. Две детских, каждая с гардеробной с окном. Своды Монье и колонны Шехтеля. Тонированный дуб французской ёлочкой, окна из массива тёмного ореха по оригинальным чертежам, мрамор Калаката Ви"
b04,cian_332401525,"Москва, Трёхпрудный переулок, 9с1",1277077620,3,348.4,214,"","Двусторонняя квартира площадью 327,4 м², на четвёртом этаже исторического корпуса. Спальни смотрят в тихие дворы. Толстые стены, которые помнят типографию Левенсона и первые сборники Цветаевой. Парадный вход с просторной гардеробной с окном. Зона кухни-гостиной 90 кв.м. с дополнительной сервисной кухней. Мастер - зона - спальня, кабинет, мужская и женская гардеробные, ванная. У каждого пространства своё окно. Две детских, каждая с гардеробной с окном. Своды Монье и колонны Шехтеля. Тонированный дуб французской ёлочкой, окна из массива тёмного ореха по оригинальным чертежам, мрамор Калаката Вио"
b04,cian_331852526,"Москва, ул. Спиридоньевский д. 12/9",165000000,4,161.0,238,"","Квартира с 3 спальнями общей площадью 161 м² в доме ""Спиридоньевский, 12"" на 2 этаже. Дизайнерская отделка выполнена в классическом стиле, интерьер украшен декоративными молдингами, венчающими карнизами и лепниной. На полу выложен паркет из дуба. Благодаря высоким потолкам и широкоформатным окнам пространство наполнено естественным светом и теплом. Функциональная планировка включает гостиную с камином и выходом на балкон, кухню-столовую, мастер-спальню с собственной ванной комнатой с окном, 2 спальни, два санузла и холл. Квартира меблирована и укомплектована бытовой техникой, установлена систе"
b04,cian_330392817,"Москва, Патриарший Б. пер., 4",75000000,4,110.0,239,"","4-комнатные апартаменты на Патриарших прудах Характеристики: • Площадь: 110 м² • Этаж: 2 из 5 • Высота потолков: 3,4 м • Кирпичный дом • Парковка во дворе за шлагбаумом Планировка: • Кухня • Просторная гостиная • Две спальни • Кабинет • Ванная комната с душевой кабиной О доме и локации: Исторический дом 1913г. с атмосферой старой Москвы расположен в самом центре Патриарших прудов. В пешей доступности лучшие рестораны, кофейни, магазины, прогулочные зоны и вся инфраструктура района. • 10 минут пешком до метро Пушкинская • Удобный выезд на Садовое кольцо • Тихий переулок в центре города Апартаме"
b04,cian_330445034,"Москва г, Москва, Козихинский М. пер 16/3",87500000,3,135.8,280,"","ID объявления: 574468 Эксклюзивное предложение в самом сердце Москвы! Ключевая идея: Уникальная двухуровневая резиденция для тех, кто ценит уединение, исторический дух и статусное расположение в самом центре Москвы. Общая концепция: Двухуровневая планировка, разделяющая частную и гостевую зоны. ПЕРВЫЙ УРОВЕНЬ (гостевой и рабочий): Просторная гостиная-кухня — идеальное пространство для встреч с близкими. Камин (который можно установить) — создаёт атмосферу уюта и является сердцем гостиной. Возможно обустроить отдельный кабинет — для работы и творчества, обеспечивающий полную концентрацию. ВЕРХН"
