id,ссылка,адрес,округ,район,метро,мин_до_метро,цена,комнат,площадь,этаж,шум,окна,фото_шт,первое_фото,описание
cian_329369076,https://www.cian.ru/sale/flat/329369076/?mlSearchSessionGuid=9284a4b8dcc49b48fbbadc68a3a5883f,"Россия, Москва, Большая Бронная улица, 9/1",ЦАО,Пресненский,Тверская,8,1000000,2,65.0,3/9,low,S,0,"","Представляем вашему вниманию уютную двухкомнатную квартиру, расположенную в престижном районе Патриарших прудов. Дом, построенный в 1965 году, представляет собой крепкое кирпичное строение всего в девять этажей с одним подъездом, что обеспечивает тишину и спокойствие. Всего в доме 35 квартир, что говорит о камерной атмосфере и добрососедских отношениях. Квартира общей площадью 65 кв.м. предлагает продуманную планировку: две просторные изолированные комнаты площадью 20 и 18 кв.м. позволят каждому члену семьи иметь свое личное пространство, а кухня в 11 кв.м. станет любимым местом для семейных ужинов. Изюминкой квартиры является просторная лоджия длиной 6 метров, которая станет прекрасным мест"
cian_328293856,https://www.cian.ru/sale/flat/328293856/?mlSearchSessionGuid=97c0d497369f1966b67699588d936436,"Москва, 1-й Красногвардейский проезд, 21с2",ЦАО,Пресненский,Москва-Сити,2,1453351,3,154.3,62/85,high,,0,"","К продаже предлагается шикарный 3-х комнатный видовой апартамент от застройщика площадью 154,3 кв.м, расположенный на 62 этаже знакового небоскреба ОКО. Апартамент полностью готов к проживанию, ключи передаются в день покупки. Обе спальных комнаты (27,9 кв.м и 20,7 кв.м) имеют собственные гардеробные и ванные. Отличительной особенностью планировочного решения данного апартамента является просторная ванная комната площадью 18 кв. м с панорамным окном при Мастер-спальня (главной спальни). В санузлах установлена премиальная сантехника Fantini. Высококачественные отделочные материалы с использованием природного камня, полы из натурального дерева. Залитая светом кухня-гостиная площадью 56,3 кв.м "
cian_328293854,https://www.cian.ru/sale/flat/328293854/?mlSearchSessionGuid=c588519bf276f9708c2b895adf92b9c0,"Москва, 1-й Красногвардейский проезд, 21с2","","",Москва-Сити,2,1772434,3,189.1,61/85,high,,16,https://images.cdn-cian.ru/images/2878466296-1.jpg,"К продаже предлагается уникальный 3-х комнатный видовой апартамент от застройщика площадью 189,1 кв.м, расположенный на 61 этаже знакового небоскреба ОКО. Идеальный лот для семьи, а также для ценителей личного пространства и масштаба, полностью готов к проживанию, ключи передаются в день покупки. Обе спальные комнаты (29,1 кв.м и 27,9 кв.м) имеют собственные гардеробные и ванные. Отличительной особенностью данного апартамента является зона Мастер-спальня (главной спальни), органично отделенная от общественного пространства и имеющая собственную ванную комнату с панорамным окном площадью 18 кв. м, а также большую гардеробную, что создает приватность и комфорт проживания. В санузлах установлен"
cian_317410374,https://www.cian.ru/sale/flat/317410374/?mlSearchSessionGuid=9284a4b8dcc49b48fbbadc68a3a5883f,"Москва, ул. Спиридоновка д. 12",ЦАО,Пресненский,Пушкинская,11,2430000,2,117.0,12/12,low,,0,"","Просторная квартира с одной спальней в доме ""Спиридоновка, 12"" на Патриарших прудах. Квартира общей площадью 117 м² расположена на последнем 12 этаже с одними из лучших видовыми характеристиками. Выполнена отделка с использованием натуральных материалов — на полу массив ореха, в санузлах гранит и мрамор. Особый акцент в оформлении создается за счет панелей из дерева и графики на стенах. Продуманы различные сценарии освещения. Квартира укомплектована кухонной техникой Gaggenau и Kupperbusch, подогрев полов в санузлах, японская сплит-система, шторы на электроприводе. Планировкой предусмотрено: кухня-гостиная, спальня с выходом на балкон, два санузла, постирочная зона и холл. Окна ориентированы"
cian_326270473,https://www.cian.ru/sale/flat/326270473/?mlSearchSessionGuid=47cec43a6de60666aa67b63cb29341cb,"Москва, Остоженка ул., 7, стр. 1",ЦАО,Хамовники,Кропоткинская,3,2500000,4,160.0,4/5,medium,,15,https://images.cdn-cian.ru/images/2796701211-1.jpg,"ID 21049. Эксклюзив. Только в Intermark. ЖК Остоженка 7. Светлая, просторная трехспальная квартира в известном историческом особняке Остоженки. Комфортная планировка: большая гостиная, перетекающая на уединенный балкон с панорамой на вековую зелень, 3 спальни, 2 с/у и гардеробная комната. Преимущество квартиры - потолки высотой 3,6 метров, создающие редкое для центра ощущение простора. Окна ориентированы на 2 стороны света: на историческую улочку с невысокими особняками и во внутренний двор. Фасадный дом начала XX века был полностью реставрирован с заменой на ж/б перекрытия. Презентабельный парадный подъезд, современный лифт, консьерж, парковка для жильцов за шлагбаумом на внутренней террито"
cian_328293836,https://www.cian.ru/sale/flat/328293836/?mlSearchSessionGuid=47cec43a6de60666aa67b63cb29341cb,"Москва, 1-й Красногвардейский проезд, 21с2",ЦАО,Пресненский,Москва-Сити,2,2913989,4,292.1,75/85,high,,10,https://images.cdn-cian.ru/images/2878466140-1.jpg,"К продаже предлагается уникальный 4-х комнатный видовой апартамент от застройщика площадью 292,1 кв.м, расположенный на 75 этаже знакового небоскреба Око. Идеальный лот для большой семьи, а также для ценителей личного пространства и масштаба, полностью готов к проживанию, ключи передаются в день покупки. Все 3 спальные комнаты (29,2 кв.м, 27,4 кв.м и 28,9 кв.м) имеют собственные гардеробные и ванные. Отличительной особенностью данного апартамента является зона Мастер-спальня (главной спальни), органично отделенная от общественного пространства и имеющая собственную ванную комнату с панорамным окном площадью 18,2 кв.м, а также большую гардеробную, что создает приватность и комфорт проживания."
cian_327639229,https://www.cian.ru/sale/flat/327639229/?mlSearchSessionGuid=97c0d497369f1966b67699588d936436,"Москва , Никольская ул, 10/2стр2Б",ЦАО,Тверской,Лубянка,1,3480000,3,124.7,2/5,medium,,0,"","Номер объекта: 559606. Изысканный 3-комнатный апартамент площадью 124.7 кв.м в жилом комплексе St. Nickolas, расположенном в 8 минутах пешком от Красной площади. В апартаменте выполнена дорогая отделка в стиле современной классики с использованием премиальных материалов: натуральный камень, паркет из ценных пород дерева, люксовый текстиль. Апартамент полностью меблирован и укомплектован бытовой техникой мировых брендов. Функциональное планировочное решение: просторная гостиная с зоной кухни-столовой, 2 спальни с гардеробными и санузлами, гостевой санузел, прихожая с вместительным гардеробом. В апартаменте 9 окон, ориентированных на две стороны. Высокие потолки 3.2 метра. St. Nickolas - полно"
cian_327303884,https://www.cian.ru/sale/flat/327303884/?mlSearchSessionGuid=97c0d497369f1966b67699588d936436,"Москва, Софийская набережная, 18",ЦАО,Якиманка,Боровицкая,12,4125000,3,149.6,3/4,medium,,0,"","Светлая 3-комнатная квартира площадью 149,6 кв. м, расположенная на 3 этаже в новом жилом квартале ""Золотой-2"" от Capital Group - прямо напротив Кремля. Окна шикарной кухни-гостиной площадью 41,4 кв. м, являющейся идеальным местом для воплощения буквально любых дизайнерских идей, выходят в сторону Москва-реки и Кремля, делая все пространство квартиры невероятно светлым. Две просторные спальни площадью 37,7 и 32,6 кв.м объединены с собственными ванными комнатами, окна одной master-beedroom выходят на Кремль, второй на тихий и уютный двор проекта. Квартира предлагается к продаже без отделки. Предупредительный ВИП-консьерж уровня премиальных отелей 24/7 поможет с любыми повседневными задачами, "
cian_323665910,https://www.cian.ru/sale/flat/323665910/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,Россия   Москва   Сиреневый бульвар 15,ВАО,Северное Измайлово,Щёлковская,15,4300000,1,10.0,3/4,low,,0,"","Предлагаются к покупке уютные апартаменты с мебелью и техникой. У апартамента отдельный кадастровый номер. Объект можно приобрести как для проживания, так и для сдачи в аренду (краткосрочная, долгосрочная). Возможна сдача через управляющую компанию. О ЛОКАЦИИ: Инфраструктура района отлично развита: в пешей доступности расположены школы, колледжи, множество мед.учреждений, магазины, фитнес-клубы. В районе очень много зелёных и парковых зон для прогулок, до Измайловского парка 10-15 минут пешком. Транспортная доступность: пешком 15 минут до метро Щёлковская; быстрый выезд на СВХ; автобусная остановка находится у дома; О ДОКУМЕНТАХ: Один взрослый собственник, без обременений, подходит под ипоте"
cian_328541004,https://www.cian.ru/sale/flat/328541004/?mlSearchSessionGuid=78a0666744577009d6ebe85c885a6bab,"Россия, Москва, улица Артюхиной, 6к2","","",Текстильщики,12,4699000,1,14.7,5/5,high,,9,https://images.cdn-cian.ru/images/kvartira-moskva-ulica-artyuhinoy-2897149616-1.jpg,"Описание Продается Студия-Мастерская-лофт. Это отдельное помещение со своим кадастровым номером -77:04:0004001:12851 (это не доля, а отдельное помещение). Студия полностью готова к эксплуатации, возможна продажа с установленной стиральной машиной (цены от производителя, установка стиралки и сборка мебели для покупателя бесплатная). Студия находится в 8 минутах пешком от метро Текстильщики и жд/платформы Текстильщики. Одна из лучших цен по Москве. Студия отлично подойдет для инвестиционных целей, студия расположена на 5-м этаже в 5-ти этажном кирпичном здании (в здании есть мансардный этаж поэтому в помещении не жарко) . В студии высокие потолки и поэтому в помещении очень много света. Окна в"
