cian_id,description,price,area,rooms,floor,floors,address,metro,zhk,building_material,deadline,latitude,longitude,url,photos,collected_at
317927888,"1-к квартира  в премиальном комплексе SHIFT на 2-м этаже в 18 этажном здании. Общая площадь 46.5 кв. м, площадь кухни 4.6 кв. м.
SHIFT - новый премиальный проект от девелопера PIONEER в Донском районе, в 300 м от Нескучного сада. 
 
Главная особенность проекта - 5 башен, в которых воплощен принцип модульной архитектуры: каждый этаж смещен относительно предыдущего, что создает эффект парящих в воздухе граней. Архитектура SHIFT создана самым востребованным бюро Москвы - ""Цимайло Ляшенко и Партнеры"".  
 
У жилого квартала удобное расположение: Ленинский проспект ведет прямо к Садовому кольцу и в центр, а быстрый выезд на ТТК станет ключом к любому району Москвы. 
 
Многообразие сервисов и коммерческих помещений создает в SHIFT всю необходимую инфраструктуру: кафе и рестораны, супермаркет и многое другое. 
 
Преимущества проекта: 
- Потолки от 2,7 м 
- Панорамные окна и террасы 
- Приватный ландшафтный двор-парк 4 000 м2 
- Коммерческая инфраструктура 4 000 м2 
- Клубная инфраструктура 350 м2 
Девелопер: 
За 24 года на рынке недвижимости компания PIONEER реализовала более 30 проектов. Сегодня PIONEER - девелопер премиальной недвижимости с 4 проектами класса премиум и делюкс. 
 
Звоните, и мы с удовольствием расскажем все подробности о проекте и условиях покупки. 
 
Продажа от застройщика. Покупка доступна в ипотеку.",45007350,46.5,1,2,18,"Москва, 2-й Донской проезд","[{""name"":""Ленинский проспект"",""time"":7,""transport_type"":""walk""},{""name"":""Площадь Гагарина"",""time"":10,""transport_type"":""walk""},{""name"":""Шаболовская"",""time"":3,""transport_type"":""transport""}]",SHIFT (ШИФТ),monolith,,55.71120458532715,37.592330829357934,https://www.cian.ru/sale/flat/317927888/?mlSearchSessionGuid=1c730f945ccac16f650358ea35f75706,"[""https://images.cdn-cian.ru/images/2943545902-1.jpg"",""https://images.cdn-cian.ru/images/2924682616-1.jpg"",""https://images.cdn-cian.ru/images/2924682660-1.jpg"",""https://images.cdn-cian.ru/images/2924682683-1.jpg"",""https://images.cdn-cian.ru/images/2924682695-1.jpg"",""https://images.cdn-cian.ru/images/2924682707-1.jpg"",""https://images.cdn-cian.ru/images/2924682762-1.jpg"",""https://images.cdn-cian.ru/images/2924682816-1.jpg"",""https://images.cdn-cian.ru/images/2924682869-1.jpg"",""https://images.cdn-cian.ru/images/2924682933-1.jpg"",""https://images.cdn-cian.ru/images/2924683001-1.jpg"",""https://images.cdn-cian.ru/images/2924683049-1.jpg""]",2026-08-18T07:47:18Z
319800087,"Продам большую 46,5 м2, светлую однакомнатную квартиру на улице Мельникова, удобная транспортная развязка, развитая инфраструктура , современный дом недалеко от метро. Окна во двор. Застекленная лоджия, гардеробная комната, большая кухня. Не требует ремонта , можно использовать как для сдачи в аренду , так и для собственного проживания. Место для парковки во дворе всегда есть. Никто не зарегистрирован, один собственник, полная стоимость в договоре, быстрый выход на сделку.",22200000,46.5,1,6,23,"Россия, Москва, улица Мельникова, 3к1","[{""name"":""Волгоградский проспект"",""time"":8,""transport_type"":""walk""},{""name"":""Пролетарская"",""time"":14,""transport_type"":""walk""},{""name"":""Дубровка"",""time"":16,""transport_type"":""walk""},{""name"":""Крестьянская застава"",""time"":17,""transport_type"":""walk""}]",На ул. Мельникова,monolithBrick,,55.726431,37.676825,https://www.cian.ru/sale/flat/319800087/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,[],2026-07-16T13:36:53Z
280751407,"За объект уже внесен аванс.
Продается прекрасная полноценная однокомнатная квартира в корпусе 6 нового строящегося жилого комплекса комфорт-класса ""Эдельвейс"". Лучший по качеству дом в комплексе с потолками 3 м. Дом полностью возведен, внутренние работы выполнены. Идет подключение к инженерным коммуникациям. Срок ввода - 2 квартал 2026 года (июнь). Квартира имеет шикарную планировку. Плита электрическая. Дом с собственной подземной двухуровневой автостоянкой, на которую спускается лифт. На первых этажах всех домов комплекса есть нежилые помещения, которые обеспечат жителей микрорайона необходимой инфраструктурой. Жилой комплекс расположен в зеленом и экологически чистом районе. Рядом есть лес и река с зоной отдыха. Вокруг комплекса расположены: теннисная академия, супермаркет Перекресток, элитная частная школа и т.д. Детские сады и школы находятся в радиусе 1 км от комплекса.  В 2024 году открыты всевозможные транспортные магистрали и узлы. Квартира оформляется по договору уступки с письменного согласия застройщика!!! Документы и справки, которые запрашивают банки для приобретения квартиры по ипотеке в данном ЖК, имеются!!! Оперативные и беспрепятственные показы !!!",5800000,33.56,1,4,7,"Россия, Москва, жилой комплекс Эдельвейс, к6","[{""name"":""Крёкшино"",""time"":11,""transport_type"":""transport""},{""name"":""Санино"",""time"":12,""transport_type"":""transport""},{""name"":""Апрелевка"",""time"":13,""transport_type"":""transport""}]",Эдельвейс,monolithBrick,,55.5375608333451,37.1874016462552,https://www.cian.ru/sale/flat/280751407/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,[],2026-07-16T13:36:53Z
316982496,"В продаже 1-к квартира площадью 40.10 м2. Функциональная планировка, кухня-гостиная, просторные санузел и гардеробная. Квартира расположена на 9-м этаже 12-этажного дома. 

Стоимость указана с учетом скидки 12%, экономия составит  3 348 190 рублей!  

Стоимость квартиры без скидки  27 901 580 рублей. 


Условия покупки со скидкой 10%: 
- 100% оплата
- Базовая ипотека 

Условия покупки без скидки: 
- Семейная ипотека от 3,5% на весь срок;
- Ипотека 0,11% на первый год;
- Рассрочка без процентов;
- Trade-in с проживанием на время строительства дома.

""Мангазея на Речном"" расположена рядом с набережной, парками и территорией Северного речного вокзала. Первая очередь проекта два дома 12 и 24 этажа с приватным двором, ландшафтным благоустройством и инфраструктурой только для резидентов: кинозал, коворкинг, переговорные, зоны отдыха и комнаты для занятия фитнесом. 

Инфраструктура: 
- Школа на 1000 мест и детский сад;
- Дом со СПА-центром, фитнесом и массажными кабинетами и два бассейна, один из них под открытым небом;
- Два бассейна, один из них под открытым небом;
- Прогулочная набережная протяженностью 3,2 км с террасами;
- Зона воркаута и детские площадки;
- Ретейл, кафе, рестораны и бутики на первых этажах;
- Причалы для остановки яхт и небольших катеров.

Транспортная доступность: 
- 10 минут пешком до метро Речной вокзал;
- 15 минут пешком до метро Беломорская;
- 15 минут на машине до Белорусского вокзала;
- 17 минут на машине до Садового Кольца.

В первых корпусах ""Мангазеи на Речном"" представлены квартиры бизнес-класса с мастер-спальнями, террасами и видами на парк. Эксклюзивные форматы лоты с увеличенной высотой потолков и собственными выходом на благоустроенную территорию.",24553390,40.1,1,9,12,"Москва, Ленинградское шоссе","[{""name"":""Речной вокзал"",""time"":12,""transport_type"":""walk""},{""name"":""Беломорская"",""time"":4,""transport_type"":""transport""},{""name"":""Водный стадион"",""time"":7,""transport_type"":""transport""}]",Мангазея на Речном,monolithBrick,,55.8558442063029,37.46485329648219,https://www.cian.ru/sale/flat/316982496/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,[],2026-07-16T13:36:53Z
331839125,"Жилой квартал премиум-класса Prime Park — оазис спокойствия и максимального комфорта с преимуществами жизни в большом городе. Он располагается на Ленинградском проспекте, 37/3, всего в 5 км от исторического центра Москвы. В пешей доступности находятся станции метро ""Динамо"", ""Сокол"", ""ЦСКА"" и ""Петровский парк"", в 10-ти минутах езды — ММДЦ ""Москва-Сити"", не более 20 минут займет поездка в аэропорт ""Шереметьево"". 

Концепция проекта

Prime Park — это семейные резиденции премиум-класса. Квартал состоит из 9 корпусов высотой от 37 до 41 этажа. У каждой башни собственные входные группы, лобби, обслуживающий персонал.
Уникальный ландшафтный дизайн составляют 4 парковые зоны, общая площадь которых 5,5 гектаров. Из них 3 гектара выделено на частный Центральный парк с авторскими арт-объектами, фонтанами, цветниками и прогулочными аллеями. Для детей разных возрастов будут построены 3 игровые площадки площадью от 170 до 400 кв. метров, включая крупный лазательный комплекс в современном стиле.
Уникальная концепция проекта была неоднократно отмечена престижными наградами European Property Awards сразу в нескольких номинациях, в том числе за лучшую архитектуру высотных жилых проектов и лучшее ландшафтное благоустройство. Prime Park также удостоен премии Urban Awards за лучший жилой небоскреб в столице и лучшую управляющую компанию.

Собственная инфраструктура

На территории предусмотрен приватный оздоровительный центр с фитнес-клубом, 25-ти метровым бассейном, SPA-зоной и сауной, а также более 9 кафе и ресторанов, аптека, супермаркет, стоматология и службы быта. Для юных резидентов квартала появятся детский сад и британская школа с углубленным изучением английского языка. 

Премиальные сервисы 

Prime Park стал первым кварталом премиум-класса, который предложил пятизвездочные отельные сервисы. Услуги консьержей, беллменов доступны жителям  квартала 24/7. Для удобства резидентов пользоваться ими можно с помощью мобильного приложения.
Для автовладельцев оборудована вместительная подземная парковка с сервисом Valet-паркинга, собственной автомойкой и индивидуальными кладовыми разной площади.
В холлах корпусов для посетителей созданы комфортные зоны ожидания с мягкой мебелью. Для дополнительного удобства предусмотрены сервисные комнаты, где можно помыть лапы питомцев после прогулки, оставить детскую коляску или велосипед, а также есть комната для хранения интернет-заказов и почтовая комната для отправки посылок.

Безопасность

Конфиденциальность частной жизни резидентов обеспечивают служба безопасности, современные системы видеонаблюдения без ""слепых"" зон и чувствительные противопожарные датчики. 

Эксклюзивный дизайн

Атмосфера роскоши и спокойной уверенности нашла отражение в архитектурном облике башен и входных группах корпусов, созданном международным бюро Dyer. Облицовка внешних фасадов выполнена из натуральных долговечных материалов —  немецкого клинкерного кирпича, гравированного камня и мрамора.",42500000,40.2,1,9,41,"Ленинградский проспект, 37/3","[{""name"":""Динамо"",""time"":17,""transport_type"":""walk""},{""name"":""Аэропорт"",""time"":13,""transport_type"":""walk""},{""name"":""ЦСКА"",""time"":13,""transport_type"":""walk""},{""name"":""Петровский Парк"",""time"":16,""transport_type"":""walk""}]",Прайм Парк (Prime Park),,,55.79307,37.541853,https://www.cian.ru/sale/flat/331839125/?mlSearchSessionGuid=1c730f945ccac16f650358ea35f75706,"[""https://images.cdn-cian.ru/images/2919171849-1.jpg"",""https://images.cdn-cian.ru/images/2919256096-1.jpg"",""https://images.cdn-cian.ru/images/2919171853-1.jpg"",""https://images.cdn-cian.ru/images/2919256137-1.jpg"",""https://images.cdn-cian.ru/images/2919256147-1.jpg"",""https://images.cdn-cian.ru/images/2919256160-1.jpg"",""https://images.cdn-cian.ru/images/2919256174-1.jpg"",""https://images.cdn-cian.ru/images/2919256186-1.jpg"",""https://images.cdn-cian.ru/images/2919256196-1.jpg"",""https://images.cdn-cian.ru/images/2919171867-1.jpg"",""https://images.cdn-cian.ru/images/2919256218-1.jpg"",""https://images.cdn-cian.ru/images/2919256235-1.jpg"",""https://images.cdn-cian.ru/images/2919256243-1.jpg"",""https://images.cdn-cian.ru/images/2919256253-1.jpg"",""https://images.cdn-cian.ru/images/2919256267-1.jpg"",""https://images.cdn-cian.ru/images/2919256276-1.jpg"",""https://images.cdn-cian.ru/images/2919256280-1.jpg"",""https://images.cdn-cian.ru/images/2919256290-1.jpg"",""https://images.cdn-cian.ru/images/2919256297-1.jpg"",""https://images.cdn-cian.ru/images/2919256303-1.jpg"",""https://images.cdn-cian.ru/images/2919256317-1.jpg""]",2026-08-18T07:47:18Z
330218711,"Номер в базе: 12709477.

 Предлагаем Вашему вниманию, однокомнатную квартиру в ЖК ""Кленовые аллеи"". Квартира с удобной планировкой. Вместительна прихожая, с большой нишей под гардероб.  Кухня с выходом на просторную лоджию, из которой можно сделать дополнительное пространство для отдыха или оборудовать рабочую зону. Сан узел совмещенный, большой, просторный.
окна выходят во двор, солнечная сторона, света в квартире много. 
По документам: один взрослый собственник, долгов и обременений нет. В собственности более пяти лет.  
Новая станция метро ""Кедровая"", Троицкой линии, откроется в пешей доступности от комплекса, в 2029 году, что приведет к росту стоимости недвижимости в этом районе. 
Приглашаем на просмотр. 

Код пользователя: 176129",10400000,28.3,1,2,17,"Россия, Новомосковский административный округ, Чароитовая улица, 1к5","[{""name"":""Кедровая"",""time"":10,""transport_type"":""walk""},{""name"":""Десна"",""time"":17,""transport_type"":""walk""},{""name"":""Ватутинки"",""time"":17,""transport_type"":""walk""},{""name"":""Ольховая"",""time"":15,""transport_type"":""transport""},{""name"":""Коммунарка"",""time"":16,""transport_type"":""transport""},{""name"":""Новомосковская"",""time"":17,""transport_type"":""transport""}]",Кленовые Аллеи,monolith,,55.510665,37.34965,https://www.cian.ru/sale/flat/330218711/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,[],2026-07-16T13:36:53Z
327395294,"Представляем просторную 1-комнатную квартиру на 3 этаже Резиденций ФАНТОМ. Общая площадь лота составляет 82.9 кв.м. и включает мастер-спальню с собственной ванной, большую кухню-гостиную и гостевой санузел. 
В квартире выполнена финишная отделка с использованием натурального дерева и камня, ванные комнаты и кухни полностью оборудованы современной техникой и мебелью. Среди ее достоинств  окна на две стороны и просторный балкон.
                           

Досконально выверенное планировочное решение создает функциональное и визуально легкое пространство. Высокие потолки и большие окна наполняют квартиру воздухом и светом.
                           

ФАНТОМ  пространство абсолютного физического и эмоционального комфорта. Клубный дом класса делюкс, за футуристичными и плавными фасадами которого скрыт приватный мир, создающий идеальную среду для жизни. Преобладание белого цвета в экстерьере, сплошное остекление, неравномерный ритм террас и обтекаемость контура фасада создают эффект невесомости. Дом словно парит в воздухе. Мягкие природные линии фасада плавно переходят во внутреннее пространство здания.
                           

Здесь все сценарии жизни объединяются в высококлассной клубной инфраструктуре: собственный корт для падел-тенниса, терраса на крыше с открытым камином и дизайнерским водопадом, кинозал, сигарная, двухуровневый ивент-холл, библиотека, переговорная, панорамный фитнес зал, игровая и комната красоты.
                           

Внутренняя территория полностью закрыта от посторонних. Это природный оазис с водной архитектурой, зонами отдыха, уютными беседками и детской площадкой. Здесь легко отстраниться от городского шума и почувствовать комфорт.
                           

Подземный паркинг имеет удобный въезд для спорткаров и автомобилей представительского класса, зарядные станции для электромобилей, автомойку, комнату хранения велосипедов, кладовые и сервис паркинга. Вы всегда сможете оставить свой автомобиль у входа в лобби и получить его чистым в нужное время. Все машиноместа имеют увеличенную площадь.",189841000,82.9,1,3,9,"Москва, Малая Сухаревская площадь","[{""name"":""Сухаревская"",""time"":5,""transport_type"":""walk""},{""name"":""Цветной бульвар"",""time"":9,""transport_type"":""walk""},{""name"":""Трубная"",""time"":11,""transport_type"":""walk""},{""name"":""Сретенский бульвар"",""time"":14,""transport_type"":""walk""},{""name"":""Суворовская"",""time"":14,""transport_type"":""walk""},{""name"":""Проспект Мира"",""time"":15,""transport_type"":""walk""},{""name"":""Тургеневская"",""time"":16,""transport_type"":""walk""},{""name"":""Чистые пруды"",""time"":17,""transport_type"":""walk""},{""name"":""Красные ворота"",""time"":18,""transport_type"":""walk""},{""name"":""Кузнецкий мост"",""time"":19,""transport_type"":""walk""},{""name"":""Достоевская"",""time"":20,""transport_type"":""walk""}]",ФАНТОМ,,,55.771991423372754,37.62906112037374,https://www.cian.ru/sale/flat/327395294/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,[],2026-07-16T13:36:53Z
330747712,"Номер в базе: 12861111.

  Ваша мечта о светлой и уютной квартире в ЖК ""Филатов Луг"" ждет вас! 
Ищете идеальное место для жизни, где гармонично сочетаются комфорт, современность и развитая инфраструктура? Тогда это предложение для вас!
Представляем вам светлую и уютную квартиру, расположенную в одном из самых благоустроенных жилых комплексов  ""Филатов Луг""!
 Продуманная планировка для вашего удобства:
Просторная жилая комната (18,9 кв.м.)  ваш оазис для отдыха и вдохновения.Функциональная кухня (8,8 кв.м.) со счастливой возможностью выхода на лоджию  идеальное место для утреннего кофе или вечерних посиделок.Совмещенный санузел (4 кв.м.)  эргономичное пространство.Просторная прихожая (4 кв.м.)  место для аккуратного хранения.
 Комфорт и безопасность на каждом шагу:
Чистый и ухоженный подъезд, где приятно находиться.Удобство для всех жильцов: велосипедная комната и современные лифты (3 пассажирских, 1 грузовой)  забудьте о долгом ожидании!
 Жизнь в сердце развитой инфраструктуры:
Все необходимое под рукой: На первых этажах вашего комплекса уже функционируют продуктовые магазины, аптеки, пункты выдачи Ozon (2 шт.), Wildberries (2 шт.), Авито, Яндекс.Маркет, а также уютные салоны красоты.Шопинг и развлечения: Всего в пяти минутах езды  огромный торговый центр ""Саларис"" с бесчисленными магазинами, кафе и кинотеатрами.Пешая доступность до важных локаций: Метро ""Саларьево"" (5 минут на транспорте), метро ""Филатов Луг"" (3 минуты на транспорте), а также ""Леманна Про""  ваша мобильность будет на высоте!Для семей с детьми: На территории ЖК есть детский сад, а скоро откроется новая школа!Природа рядом: Наслаждайтесь прогулками в живописном лесопарке и отдыхайте у пруда, расположенных в пешей доступности.
 Идеальное транспортное сообщение:
До метро ""Саларьево""  всего 5 минут.До метро ""Филатов Луг""  3 минуты на автобусе.Удобный выезд на Киевское шоссе  добраться в любую точку города станет проще простого!
 Юридическая чистота и выгодные условия:
Один взрослый собственник.Квартира не обременена пропиской.Приобретена напрямую у застройщика по Договору долевого участия (ДДУ).Материнский капитал не использовался  никаких дополнительных сложностей!
Это больше, чем просто квартира  это ваш новый уровень жизни!
 Подарите себе уют, комфорт и безграничные возможности! 
Не упустите свой шанс стать обладателем этой прекрасной квартиры! Звоните прямо сейчас, чтобы узнать подробности и договориться о просмотре!



Код пользователя: 203826",12700000,36.87,1,13,22,"Россия, Новомосковский административный округ, жилой комплекс Филатов Луг, улица Картмазовские Пруды, 2к2","[{""name"":""Саларьево"",""time"":7,""transport_type"":""transport""},{""name"":""Филатов Луг"",""time"":4,""transport_type"":""transport""},{""name"":""Рассказовка"",""time"":9,""transport_type"":""transport""}]",Филатов луг,monolith,,55.614312,37.385448,https://www.cian.ru/sale/flat/330747712/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,[],2026-07-16T13:36:53Z
329330675,"Продается квартира с отделкой ""белый шоколад"" в ЖК 1-й Саларьевский от ДСК1!

Преимущества: стильная отделка, московская прописка, 5 минут до метро, современный ЖК класса ""комфорт+"".

Сбалансированная планировка: жилая зона 11 м², кухня 8 м², санузел 4 м² и просторный коридор. Умная система управления через смартфон, плюс датчики протечек для полной безопасности.

Современный ЖК класса комфорт+: 7 монолитных корпусов, архитектурная подсветка, подземный паркинг, своя школа, благоустроенная территория с прогулочным бульваром, кафе, пекарни, магазины. 

Рядом ТЦ Саларис с кинотеатром и фитнесом, 5 мин до метро, 20 мин до вузов.

Автодоступ: Киевское шоссе — 0,2 км, МКАД — 2,4 км. 

Сдача дома в III кв. 2026 г., квартира продается по переуступке от физлица. Сделку сопровождает отдел вторичной недвижимости застройщика, что гарантирует безопасность всем участникам. Согласие застройщика уже включено в стоимость квартиры.

Звоните, чтобы узнать подробности.",12000000,27.1,1,4,24,"ЖК 1-й Саларьевский, к1, квартал № 70, район Коммунарка, Новомосковский административный округ, Москва","[{""name"":""Саларьево"",""time"":12,""transport_type"":""walk""},{""name"":""Румянцево"",""time"":6,""transport_type"":""transport""},{""name"":""Солнцево"",""time"":8,""transport_type"":""transport""}]",1-й Саларьевский,,,55.6255898708996,37.4343985230846,https://www.cian.ru/sale/flat/329330675/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,[],2026-07-16T13:36:53Z
331545472,"Продается 1-комн. кв-ра площадью 39.60 кв.м на 14 этаже 43 этажного монолитно-кирпичного дома в ЖК ""ЗИЛАРТ"" от Группа ЛСР. ЗИЛАРТ МАРК — премиальный дом на первой линии Москвы-реки в жилом квартале ""ЗИЛАРТ"". Дом состоит из трех жилых корпусов: 12, 18 и 43 этажей. Архитектура уникальна: разноцветные сегменты витражей панорамного остекления подобны полотнам Пита Мондриана. Терраса на 35 этаже для резидентов. Роскошная отделка лобби. Премиальное инженерное оборудование. Квартиры с террасами и двухуровневые квартиры.
 
ЗИЛАРТ МАРК располагается в шаговой доступности сразу от четырех важных объектов столичной транспортной сети: двух станций метро (""Нагатинская"" Серпуховско-Тимирязевской линии и недавно открытая ""ЗИЛ"" Троицкой линии), станции Московского центрального кольца ""ЗИЛ"", а также причалов городской сети речных трамваев ""Синичка"". Совсем рядом с ЗИЛАРТ МАРК  удобные выезды на ТТК и проспект Андропова, по которому можно добраться до Варшавского и Каширского шоссе. Для пешеходов проектируется мост на противоположную набережную, что ускорит маршрут до ст. м. ""Нагатинская"" и ст. МЦК ""Верхние Котлы"". Расстояние до Кремля составляет примерно 7 км, а до МКАД  примерно 18 км.
 
На территории ""ЗИЛАРТа"" работает самая большая школа Москвы на 2,5 тысячи учеников. Школа  548 ""Царицыно"", корпус ""ЗИЛАРТ"" занимает 12-е место в рейтинге лучших школ Москвы. Компетентные и опытные учителя знают, как стимулировать интерес детей к учебе и развивать их потенциал.",20049400,39.6,1,14,43,"Москва, Южный административный округ, Даниловский район, улица Архитектора Щусева","[{""name"":""ЗИЛ"",""time"":17,""transport_type"":""walk""},{""name"":""ЗИЛ"",""time"":5,""transport_type"":""transport""},{""name"":""ЗИЛ"",""time"":7,""transport_type"":""transport""},{""name"":""Автозаводская"",""time"":7,""transport_type"":""transport""}]",ЗИЛАРТ,monolith,,55.68967426614119,37.63387681216281,https://www.cian.ru/sale/flat/331545472/?mlSearchSessionGuid=92cba698b32e131df9d7cc9b7e0152cd,[],2026-07-16T13:36:53Z
